"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","mean"
"sN.3",5.28,8.91,21.3,20.02,9.69,10.68,6.35,7.45,3.22,2.02,5.2,3.45,9.68,3.62,8.32,13.93,3.85,7.56,3.54,3.62,6.99,3.5,7.82,14.38,23.83,4.94,0.35,0.56,0.96,15.32,22.57,7.59,2.93,0.5,3.2,17.83,14.44,2.48,5.42,0,7.832
"br.length.3",88.7,99.5,99.6,31.6,0,94.8,31.3,92.6,91.3,95.2,92,75.7,95.9,74.1,73.6,99.5,42.2,88,71.4,72.1,96.7,81.7,87.1,98.3,99,86.2,43.6,0,85,81.8,95.1,90.9,23.7,72,86.5,98.1,98.4,0,89.9,75.1,74.955
"sim.3.dnet",NA,0.153,0.285,0.275,0.324,0.201,0.358,0.232,0.339,NA,0.023,0.224,0.299,0.318,0.247,0.375,0.208,0.545,NA,0.391,0.347,NA,0.373,0.328,NA,NA,NA,0.299,NA,0.229,0.443,0.347,0.464,0.272,0.548,0.257,0.489,0.216,0.028,NA,0.304
"sim.3.dtree",NA,0.271,0.225,0.416,0.682,0.578,0.876,0.22,0.403,NA,0.542,0.777,0.231,0.752,0.83,0.301,0.698,0.064,NA,0.158,0.149,NA,0.941,0.321,NA,NA,NA,0.136,NA,0.597,0.18,0.218,0.154,0.595,0.053,0.258,0.084,0.361,0.539,NA,0.407
"sim.3.entrop",NA,0.518,0.552,0.796,0.951,0.885,0.993,0.501,0.792,NA,0.664,0.955,0.571,0.967,0.97,0.688,0.93,0.247,NA,0.458,0.415,NA,0.998,0.708,NA,NA,NA,0.525,NA,0.904,0.511,0.565,0.462,0.678,0.212,0.597,0.296,0.748,0.677,NA,0.669
"sim.3.icert",NA,0.212,0.348,0.202,0.069,0.064,0.009,0.307,0.26,0.597,0.018,0.007,0.356,0.033,0.002,0.371,0.018,0.751,0.834,0.501,0.464,0.041,0.002,0.313,0.82,0.842,0.236,0.635,NA,0.067,0.539,0.41,0.583,0.058,0.763,0.3,0.666,0.203,0.02,NA,0.322
"sim.3.binp",0.004,0.008,0,0.004,0.213,0.122,0.649,0.007,0.259,0.111,0.21,0.259,0.003,0.407,0.532,0.004,0.407,0.003,0.111,0.111,0.007,0.407,0.532,0.004,0,0.004,NA,1,0.333,0.088,0,0.02,0.037,NA,0.037,0,0,0.556,0.21,NA,0.18
"sim.3.dstat",NA,0.969,0.587,0.215,0.023,0.338,0.016,0.85,0.047,1,0.953,0.293,0.501,0.051,0.255,0.056,0.313,0.315,1,0.438,0.734,1,0.02,0.172,1,1,1,NA,NA,0.257,0.095,0.351,0.107,0.063,0.484,0.574,0.499,0.422,0.933,NA,0.47
"sim.3.kcstat",NA,3.274,6.371,7.032,20.437,2.658,9.124,4.673,31.93,11.482,1.387,1.478,7.132,6.65,1.302,42.096,1.795,47.289,39.816,12.672,8.299,1.623,3.625,12.813,35.9,42.478,3.5,NA,NA,3.128,48.737,10.696,51.869,7.612,37.4,5.494,22.366,4.611,1.417,NA,15.56
"ID.4",44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,63.5
