"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","mean"
"br.length.3",88.7,99.5,99.6,31.6,0,94.8,31.3,92.6,91.3,95.2,92,75.7,95.9,74.1,73.6,99.5,42.2,88,71.4,72.1,96.7,81.7,87.1,98.3,99,86.2,43.6,0,85,81.8,95.1,90.9,23.7,72,86.5,98.1,98.4,0,89.9,75.1,74.955
"sim.3.dnet",NA,0.153,0.285,0.275,0.324,0.201,0.358,0.232,0.339,NA,0.023,0.224,0.299,0.318,0.247,0.375,0.208,0.545,NA,0.391,0.347,NA,0.373,0.328,NA,NA,NA,0.299,NA,0.229,0.443,0.347,0.464,0.272,0.548,0.257,0.489,0.216,0.028,NA,0.304
"sim.3.dtree",NA,0.271,0.225,0.416,0.682,0.578,0.876,0.22,0.403,NA,0.542,0.777,0.231,0.752,0.83,0.301,0.698,0.064,NA,0.158,0.149,NA,0.941,0.321,NA,NA,NA,0.136,NA,0.597,0.18,0.218,0.154,0.595,0.053,0.258,0.084,0.361,0.539,NA,0.407
"sim.3.entrop",NA,0.518,0.552,0.796,0.951,0.885,0.993,0.501,0.792,NA,0.664,0.955,0.571,0.967,0.97,0.688,0.93,0.247,NA,0.458,0.415,NA,0.998,0.708,NA,NA,NA,0.525,NA,0.904,0.511,0.565,0.462,0.678,0.212,0.597,0.296,0.748,0.677,NA,0.669
"sim.3.icert",NA,0.212,0.348,0.202,0.069,0.064,0.009,0.307,0.26,0.597,0.018,0.007,0.356,0.033,0.002,0.371,0.018,0.751,0.834,0.501,0.464,0.041,0.002,0.313,0.82,0.842,0.236,0.635,NA,0.067,0.539,0.41,0.583,0.058,0.763,0.3,0.666,0.203,0.02,NA,0.322
"sim.3.binp",0.004,0.008,0,0.004,0.213,0.122,0.649,0.007,0.259,0.111,0.21,0.259,0.003,0.407,0.532,0.004,0.407,0.003,0.111,0.111,0.007,0.407,0.532,0.004,0,0.004,NA,1,0.333,0.088,0,0.02,0.037,NA,0.037,0,0,0.556,0.21,NA,0.18
"sim.3.dstat",NA,0.969,0.587,0.215,0.023,0.338,0.016,0.85,0.047,1,0.953,0.293,0.501,0.051,0.255,0.056,0.313,0.315,1,0.438,0.734,1,0.02,0.172,1,1,1,NA,NA,0.257,0.095,0.351,0.107,0.063,0.484,0.574,0.499,0.422,0.933,NA,0.47
"sim.3.kcstat",NA,3.274,6.371,7.032,20.437,2.658,9.124,4.673,31.93,11.482,1.387,1.478,7.132,6.65,1.302,42.096,1.795,47.289,39.816,12.672,8.299,1.623,3.625,12.813,35.9,42.478,3.5,NA,NA,3.128,48.737,10.696,51.869,7.612,37.4,5.494,22.366,4.611,1.417,NA,15.56
"sCF.sim.4",89.66,90.32,90.15,67.73,28.78,67.57,65.25,61.78,15.52,100,80.53,32.87,78.97,81.14,62.19,55.17,58.18,76.09,92.18,83.93,86.8,82.15,70.08,82.99,92.28,87.53,0,43,96,56.06,83.01,80.8,78.25,66.5,24.5,86.51,89.85,2.67,79.2,52.5,67.967
"br.length.4",88.7,99.5,99.6,31.6,0,94.8,31.3,92.6,91.3,95.2,92,75.7,95.9,74.1,73.6,99.5,42.2,88,71.4,72.1,96.7,81.7,87.1,98.3,99,86.2,43.6,0,85,81.8,95.1,90.9,23.7,72,86.5,98.1,98.4,0,89.9,75.1,74.955
"sim.4.dnet",NA,0.528,0.489,0.329,0.342,0.36,0.242,0.099,0.257,NA,0.246,0.22,0.363,0.432,0.192,0.136,0.319,0.275,NA,0.46,0.45,NA,0.243,0.421,0.518,NA,NA,NA,NA,0.266,0.375,0.403,0.276,0.093,NA,0.456,0.5,NA,0.258,NA,0.329
"sim.4.dtree",NA,0.102,0.104,0.385,0.858,0.387,0.421,0.472,0.538,NA,0.216,0.69,0.235,0.208,0.466,0.578,0.529,0.271,NA,0.175,0.141,NA,0.352,0.186,0.08,NA,NA,NA,NA,0.563,0.186,0.212,0.244,0.402,NA,0.145,0.107,NA,0.232,NA,0.327
"sim.4.entrop",NA,0.35,0.351,0.775,0.991,0.778,0.792,0.743,0.882,NA,0.506,0.935,0.596,0.559,0.81,0.847,0.882,0.627,NA,0.503,0.435,NA,0.722,0.52,0.292,NA,NA,NA,NA,0.896,0.512,0.565,0.583,0.661,NA,0.443,0.361,NA,0.55,NA,0.637
"sim.4.icert",0.52,0.7,0.651,0.266,0.011,0.291,0.175,0.067,0.111,NA,0.322,0.027,0.413,0.504,0.116,0.039,0.156,0.305,0.604,0.561,0.577,0.323,0.222,0.51,0.704,0.457,0.33,0.58,0.917,0.103,0.463,0.471,0.327,0.098,0.02,0.581,0.661,0.822,0.32,0.002,0.367
"sim.4.binp",0.004,0,0,0.02,0.429,0.1,0.21,0.111,0.556,0,0.045,0.32,0.1,0.018,0.1,0.259,0.407,0.037,0.037,0.111,0,0.111,0.009,0,0,0.012,0.333,1,0.333,0.033,0,0.045,0.556,0.556,1,0.003,0.001,0.111,0.259,0.556,0.195
"sim.4.dstat",1,0.05,0.285,0.09,0.041,0.002,0.309,0.729,0.17,NA,0.803,0.282,0.234,0.048,0.423,0.535,0.038,0.464,1,0.043,0.238,1,0.398,0.165,0.321,1,1,1,1,0.163,0.364,0.147,0.548,0.851,1,0.188,0.188,1,0.671,1,0.482
"sim.4.kcstat",8.671,178.583,30.829,18.29,4.549,734.143,4.953,2.032,5.349,NA,5.029,2.095,14.385,79.308,3.205,1.866,24.089,6.289,11.788,110.493,26.041,4.602,5.124,27.007,36.153,7.019,4.704,10.75,96,5.261,12.538,25.657,6.157,2.246,1.4,32.028,44.885,36.453,5.428,1.105,41.962
"sCF.sim.5",97.54,93.1,88.93,67.69,29.15,41.77,55.66,73.43,59.19,100,65.74,66.01,81.65,63.26,33.88,73.79,25.46,88.15,92.01,18.83,98.41,68.87,66.97,73.3,94.45,89,2,12.17,67.17,69.29,80.49,86.06,61.81,22.3,80.18,78.49,93.09,32.89,77.92,86.5,66.415
"br.length.5",88.7,99.5,99.6,31.6,0,94.8,31.3,92.6,91.3,95.2,92,75.7,95.9,74.1,73.6,99.5,42.2,88,71.4,72.1,96.7,81.7,87.1,98.3,99,86.2,43.6,0,85,81.8,95.1,90.9,23.7,72,86.5,98.1,98.4,0,89.9,75.1,74.955
"sim.5.dnet",0.626,0.535,0.497,0.194,0.25,0.333,0.232,0.355,0.303,NA,0.197,0.201,0.406,0.202,0.353,0.292,0.288,0.48,0.445,0.336,0.633,NA,0.301,0.332,0.529,0.459,0.234,0.238,NA,0.253,0.384,0.488,0.06,0.225,0.289,0.354,NA,0.372,NA,NA,0.343
"sim.5.dtree",0.025,0.072,0.117,0.385,0.643,0.821,0.57,0.306,0.513,NA,0.413,0.409,0.202,0.45,0.937,0.302,0.609,0.126,0.083,0.795,0.016,NA,0.396,0.308,0.057,0.086,0.088,0.724,NA,0.363,0.216,0.15,0.472,0.37,0.22,0.241,NA,0.946,NA,NA,0.366
"sim.5.entrop",0.121,0.27,0.386,0.737,0.929,0.985,0.892,0.693,0.872,NA,0.767,0.765,0.547,0.802,0.997,0.676,0.921,0.404,0.272,0.895,0.083,NA,0.782,0.693,0.22,0.313,0.445,0.837,NA,0.738,0.568,0.456,0.686,0.735,0.545,0.603,NA,0.999,NA,NA,0.636
